,Unnamed: 0,company,location,dates,job-title,summary,pros,cons,advice-to-mgmt,overall-ratings,work-balance-stars,culture-values-stars,career-opportunities-stars,comp-benefit-stars,senior-management-stars,helpful-count,role,is_current_employee,year,month,quarter,earnings_this_quarter,stock_price,incomplete_review
10,11,google,"Mountain View, CA"," Dec 8, 2018",Current Employee - Anonymous Employee,Nice place to work,* Smart people * World class infrastructure * Diverse selection of projects and teams,Giant company with uneven project and team characteristics,none,5.0,4.0,5.0,4.0,4.0,3.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,0
11,12,google,none," Dec 8, 2018",Current Employee - Anonymous Employee,Software Engineer,* There is endless opportunity * You'll never stop learning * I haven't thought about money since I joined.,"* There's always someone better than you. * You'll constantly wonder if you're good enough * When people start talking about their employeers, you'll feel awkward saying.",none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,0
12,13,google,none," Dec 4, 2018",Former Employee - Anonymous Employee,Best Company to Work For!,Atmosphere that promotes the expression of fresh ideas!,It can be an overwhelming machine at times but there are no real drawbacks I encountered.,none,5.0,5.0,5.0,5.0,5.0,5.0,1,Anonymous Employee,0,2018,Dec,4,39.275999999999996,1116.47,0
13,14,google,"San Francisco, CA"," Dec 3, 2018",Current Employee - Sales Operations Analyst,Still the best place to work!,Amazing company. Still the best place to work.,"Size, which limits opportunities for extraordinary high performers",none,5.0,5.0,5.0,5.0,4.0,4.0,1,Sales Operations Analyst,1,2018,Dec,4,39.275999999999996,1116.47,0
14,15,google,none," Dec 6, 2018",Current Employee - Anonymous Employee,Mba Intern,"Perks, autonomy, cool products, smart people",Slow career progression for non-tech,none,5.0,4.0,5.0,3.0,5.0,5.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,0
15,16,google,none," Dec 6, 2018",Current Employee - Anonymous Employee,Review,The people are great to work with,There is lower compensation than expected,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,1
16,17,google,none," Nov 29, 2018",Current Employee - Anonymous Employee,Review of Google,"The people are great to work with, good perks.",Wide variety in experience based on team.,none,5.0,4.0,5.0,5.0,5.0,4.0,2,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,0
17,18,google,none," Dec 2, 2018",Former Employee - Anonymous Employee,Analysts,"Good managers, benefits , some support, nice atmosphere","Long hours, far locations, a lot of work",none,5.0,3.0,3.0,2.0,3.0,3.0,1,Anonymous Employee,0,2018,Dec,4,39.275999999999996,1116.47,1
18,19,google,none," Dec 1, 2018",Former Employee - Anonymous Employee,Great Company With No Down Sides,Really fun work environment with startup,Really no down sides that I saw.,none,5.0,5.0,5.0,5.0,5.0,5.0,1,Anonymous Employee,0,2018,Dec,4,39.275999999999996,1116.47,0
19,20,google,none," Dec 3, 2018",Current Employee - Anonymous Employee,Senior Account Manager,"Great benefits, growth and people to work with and challenge you.",Must be located in an office,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,0
20,21,google,"New York, NY"," Nov 26, 2018",Current Employee - Designer,"Great, but great can always be better",Great team and support for individuals,"Lots of bureaucracy, not super diverse",none,5.0,3.0,4.0,3.0,4.0,5.0,2,Designer,1,2018,Nov,4,39.275999999999996,1116.47,0
21,22,google,none," Dec 2, 2018",Current Employee - Anonymous Employee,Great company to work for,I love Google a lot,Some things are not to great,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,0
22,23,google,none," Dec 1, 2018",Current Employee - Anonymous Employee,,it's a great place to work!,too much red tape on doing even the smallest processes!,none,5.0,3.0,3.0,5.0,3.0,3.0,0,Anonymous Employee,1,2018,Dec,4,39.275999999999996,1116.47,1
23,24,google,none," Nov 30, 2018",Current Employee - Anonymous Employee,Software Engineer,Awesome job environment to work in,Pressure is there for some parts,none,5.0,3.0,3.0,3.0,3.0,3.0,0,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,1
24,25,google,"Los Angeles, CA"," Nov 29, 2018",Current Employee - Staff Accountant,Accountant,I like and learned from the beginning accounting,High clerical work in the Sane record,Management and Finance must be close relation in a Organization,5.0,5.0,5.0,5.0,5.0,5.0,0,Staff Accountant,1,2018,Nov,4,39.275999999999996,1116.47,0
25,26,google,none," Nov 29, 2018",Current Employee - Anonymous Employee,Good Company to Work for,"- perks are phenomenal, food, health, office",- work life balance is hard to manage,none,5.0,4.0,5.0,4.0,5.0,5.0,0,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,0
26,27,google,none," Nov 28, 2018",Current Employee - Anonymous Employee,Great culture,Very inspiring engineers to work with.,"Easy to get lost, as it is such a big company.",none,5.0,3.0,5.0,4.0,5.0,3.0,0,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,0
27,28,google,"San Francisco, CA"," Nov 17, 2018",Current Employee - Program Manager I,"Not perfect, but still the best place in the world to work","- A company culture that encourages dissent, discourse, transparency, and fairness - Strong compensation, from benefits, to perks, to base pay - Decent internal mobility opportunities - Employees are proud to work on globally impactful products, leading to a great sense of pride - Lots of opportunities to get involved in extracurriculars: sports teams, affinity groups, plan events, lead debate on internal company/cultural issues","- A company with over 90k people at the time of this review, and you can feel the size - A hierarchical company (due to its size), so don't expect to lead world changing projects and work with the CEO if you're a junior person - A company that has valued employees in somewhat of a tiered way: tech jobs are most respected, business jobs are 2nd class, vendors/temps/contractors are treated in an exclusionary way (usually because it is legally required to do so) - Employees can be overly sensitive and entitled - Mobility is great in the same functional discipline, switching between functional disciplines (i.e. sales to eng) is a nightmare",- Just because a small percentage of the company is screaming and shouting about certain issues doesn't mean it necessarily reflects the viewpoint of the entirety of the company.  - Feels like we're losing our 'edge' and aggressiveness in the markets we're are invested in. We can be Googley and ruthless (a.k.a business savvy) at the same time.,5.0,5.0,5.0,5.0,5.0,5.0,3,Program Manager I,1,2018,Nov,4,39.275999999999996,1116.47,0
28,29,google,none," Nov 27, 2018",Current Employee - Anonymous Employee,Great place to work,The people are awesome. Lots of perks. Reduce administrative burdens. The food is great. There's a wide variety of tasks.,There's sometimes too wide a variety of things you can work on.,none,5.0,4.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,0
29,30,google,none," Nov 20, 2018",Former Employee - Anonymous Employee,Great,"Great place to work, free food, and great culture.","Big company, prepare to move much slower than a startup.",none,5.0,3.0,3.0,3.0,3.0,3.0,2,Anonymous Employee,0,2018,Nov,4,39.275999999999996,1116.47,1
30,31,google,none," Nov 21, 2018",Current Employee - Anonymous Employee,IT Employee,"Flexible timings, surrounded by technical experts and platform to grow and new ideas","None as of now, all good!",none,5.0,3.0,3.0,3.0,3.0,3.0,1,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,1
31,32,google,"Mountain View, CA"," Dec 9, 2018",Former Employee - Senior Director,Senior Director,"So many brilliant people Tons of resources Working on amazingly cool technologies Great culture - they really care about employees, actively ask for feedback, and act on it (e.g. Set corporate OKR's to improve on problem issues)","Becoming highly bureaucratic Growing political back stabbing, especially at the senior management levels",none,3.0,4.0,5.0,5.0,5.0,5.0,0,Senior Director,0,2018,Dec,4,39.275999999999996,1116.47,0
32,33,google,none," Nov 24, 2018",Current Employee - Anonymous Employee,Is very good,is very good. is very very good,You work a lot. Like a lot,none,5.0,5.0,5.0,5.0,5.0,5.0,0,Anonymous Employee,1,2018,Nov,4,39.275999999999996,1116.47,0
33,34,google,"Mountain View, CA"," Dec 8, 2018",Current Employee - Software Engineering Manager,Google is still the best place to be,"Great place to work, learn new things, grow and innovate. Able to maintain a respectful and healthy workplace culture despite the recent press.",Large company issues have crept up but nothing compared to other behemoths.,none,4.0,5.0,5.0,4.0,4.0,4.0,0,Software Engineering Manager,1,2018,Dec,4,39.275999999999996,1116.47,0
34,35,google,"Dearborn, MI"," Nov 20, 2018",Current Employee - Google Specialist,Google,Google is one of the beast Company in the world,You have to work hard,none,5.0,3.0,4.0,4.0,5.0,4.0,1,Google Specialist,1,2018,Nov,4,39.275999999999996,1116.47,0
